ain't,am not
aren't,are not
can't,cannot
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
gonna,going to
gotta,got to
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he is
how'd,how did / how would
how'll,how will
how's,how has / how is / how does
I'd,I had / I would
I'll,I shall / I will
I'm,I am
I've,I have
isn't,is not
it'd,it would
it'll,it shall / it will
it's,it has / it is
mayn't,may not
may've,may have
mightn't,might not
might've,might have
mustn't,must not
must've,must have
needn't,need not
o'clock,of the clock
ol',old
oughtn't,ought not
shan't,shall not
she'd,she had / she would
she'll,she shall / she will
she's,she has / she is
should've,should have
shouldn't,should not
should of,should have
somebody's,somebody has / somebody is
someone's,someone has / someone is
something's,something has / something is
that'll,that will
that're,that are
that's,that has / that is
that'd,that would / that had
there'd,there had / there would
there're,there are
there's,there has / there is
these're,these are
they'd,they had / they would
they'll,they shall / they will
they're,they are
they've,they have
this's,this has / this is
those're,those are
tis,it is
twas,it was
wasn't,was not
we'd,we had / we would
we'd've,we would have
we'll,we will
we're,we are
we've,we have
weren't,were not
what'd,what did
what'll,what shall / what will
what're,what are
what's,what has / what is / what does
what've,what have
when's,when has / when is
where'd,where did
where're,where are
where's,where has / where is / where does
where've,where have
which's,which has / which is
who'd,who would / who had / who did
who'd've,who would have
who'll,who shall / who will
who're,who are
who's,who has / who is / who does
who've,who have
why'd,why did
why're,why are
why's,why has / why is / why does
willn't / won't,will not
would've,would have
wouldn't,would not
y'all,you all
you'd,you had / you would
you'll,you shall / you will
you're,you are
you've,you have